Date,Day,Meal,Food_Item,Prepared_Qty_kg,Consumed_Qty_kg,Waste_Qty_kg,People
2026-09-01,Tuesday,Breakfast,Poha,10,8,2,50
2026-09-01,Tuesday,Lunch,Rice,15,11,4,50
2026-09-01,Tuesday,Dinner,Roti,12,9,3,50
2026-09-02,Wednesday,Breakfast,Upma,9,7,2,48
2026-09-02,Wednesday,Lunch,Rice,16,13,3,48
2026-09-02,Wednesday,Dinner,Dal,10,8,2,48
2026-09-03,Thursday,Breakfast,Poha,11,9,2,52
2026-09-03,Thursday,Lunch,Roti,14,10,4,52
2026-09-03,Thursday,Dinner,Rice,15,11,4,52
2026-09-04,Friday,Breakfast,Upma,10,8,2,49
2026-09-04,Friday,Lunch,Rice,16,12,4,49
2026-09-04,Friday,Dinner,Roti,13,10,3,49
2026-09-05,Saturday,Breakfast,Poha,12,9,3,55
2026-09-05,Saturday,Lunch,Rice,18,13,5,55
2026-09-05,Saturday,Dinner,Dal,12,8,4,55
2026-09-06,Sunday,Breakfast,Upma,11,8,3,57
2026-09-06,Sunday,Lunch,Rice,19,13,6,57
2026-09-06,Sunday,Dinner,Roti,15,10,5,57
